Date,Amount,Category,Description,PaymentMethod
2024-11-22,141.93,Gift,Wedding Gift,WeChat
2024-06-30,402.47,Health,Fitness Class,Alipay
2024-03-26,34.49,Dining,McDonald's,WeChat
2024-08-15,61.74,Transport,Metro Recharge,Alipay
2024-02-01,1126.46,Housing,Home Decor,WeChat
2025-03-21,3718.2,Finance,Tax,Alipay
2024-04-05,2628.43,Travel,Airbnb,Alipay
2024-11-25,167.16,Entertainment,KTV,Alipay
2024-03-18,40.52,Dining,Boba Tea,Bank
2024-10-28,167.73,Gift,Souvenir,Bank
2024-08-06,1530.84,Travel,Cruise Ticket,WeChat
2025-03-24,770.95,Shopping,Uniqlo,WeChat
2024-09-30,95.54,Dining,Sushi,Bank
2024-04-14,385.15,Gift,Anniversary Gift,Bank
2024-06-19,1948.68,Travel,Cruise Ticket,Alipay
2024-10-17,631.51,Gift,Chocolates,Alipay
2024-01-24,295.01,Gift,Chocolates,Bank
2024-07-27,835.29,Travel,Trip to Tokyo,WeChat
2024-09-20,639.52,Health,Vaccination,WeChat
2024-09-26,187.2,Education,Exam Fee,Alipay
2024-07-06,705.02,Gift,Perfume,Bank
2024-05-04,737.62,Gift,Anniversary Gift,WeChat
2024-01-24,158.34,Entertainment,Netflix,WeChat
2024-08-13,1596.15,Housing,Electricity Bill,WeChat
2024-12-05,1089.61,Travel,Museum Entry,WeChat
2024-12-18,37.61,Transport,Metro Recharge,Alipay
2024-09-21,217.69,Entertainment,Streaming,Alipay
2024-05-12,336.79,Gift,Wedding Gift,Bank
2024-09-11,155.93,Health,Vaccination,WeChat
2024-08-07,1206.43,Travel,Museum Entry,Alipay
2024-04-09,24.44,Transport,Didi,Alipay
2024-07-13,467.09,Travel,Trip to Tokyo,WeChat
2024-02-02,119.97,Dining,Pizza,Bank
2024-10-10,4363.33,Finance,Insurance,Alipay
2024-02-25,690.87,Education,Online Course,Alipay
2024-07-22,416.42,Health,Hospital Bill,Alipay
2025-01-21,1458.09,Housing,Smart Lock,Bank
2025-01-22,1216.63,Housing,Electricity Bill,WeChat
2024-05-09,148.11,Dining,Pizza,Alipay
2024-05-04,183.25,Health,Vaccination,WeChat
2024-04-07,364.8,Housing,Internet Fee,Bank
2024-10-05,44.02,Entertainment,Game Recharge,Bank
2024-03-09,1145.94,Shopping,Miniso,WeChat
2024-10-15,1864.89,Travel,Airbnb,Bank
2024-09-04,31.52,Dining,Sushi,Alipay
2024-09-07,167.45,Entertainment,Streaming,Bank
