Date,Amount,Category,Description,PaymentMethod
2024-03-27,682.09,Health,Hospital Bill,Bank
2024-04-29,2538.9,Travel,Museum Entry,Bank
2024-11-14,143.25,Education,MOOC,Alipay
2024-08-13,223.85,Entertainment,Concert,Bank
2024-09-04,31.52,Dining,Sushi,Alipay
2024-09-26,187.2,Education,Exam Fee,Alipay
2024-04-30,391.4,Gift,Perfume,WeChat
2025-02-04,1475.6,Finance,Stock Purchase,Bank
2024-11-26,982.73,Education,Skill Bootcamp,Alipay
2024-11-04,10.39,Transport,High-speed Rail,Bank
2024-06-30,154.81,Shopping,Miniso,Bank
2024-06-15,103.72,Dining,Pizza,Alipay
2024-03-09,1145.94,Shopping,Miniso,WeChat
2024-12-31,4436.1,Finance,Mutual Fund,Alipay
2025-01-21,1458.09,Housing,Smart Lock,Bank
2024-07-27,835.29,Travel,Trip to Tokyo,WeChat
2024-05-04,183.25,Health,Vaccination,WeChat
2024-02-28,123.34,Education,Exam Fee,WeChat
2024-08-17,57.27,Dining,Starbucks,Alipay
2024-05-03,519.06,Education,Online Course,Alipay
2024-03-18,40.52,Dining,Boba Tea,Bank
2024-08-23,704.54,Gift,Birthday Gift,WeChat
2025-03-09,1873.71,Finance,Loan Payment,WeChat
2024-09-23,1157.65,Housing,Internet Fee,WeChat
2024-01-05,126.46,Health,Medicine,Alipay
2024-11-19,52.29,Gift,Chocolates,WeChat
2024-08-06,2947.95,Travel,Airbnb,WeChat
2024-09-12,1010.47,Housing,Electricity Bill,Alipay
2024-03-12,59.57,Transport,Flight,Alipay
2024-07-14,164.94,Gift,Chocolates,WeChat
2024-12-14,2264.96,Housing,Smart Lock,WeChat
2024-07-03,37.0,Transport,Didi,Alipay
2024-10-28,231.66,Entertainment,KTV,Bank
2024-07-01,46.16,Transport,Bus Fare,Alipay
2024-01-16,74.32,Entertainment,Concert,WeChat
2025-01-20,116.01,Dining,Steakhouse,WeChat
2025-02-27,759.8,Housing,Furniture,Bank
2024-08-28,2266.11,Housing,Smart Lock,Alipay
2025-03-09,1583.15,Finance,Tax,Alipay
2024-10-17,631.51,Gift,Chocolates,Alipay
2024-04-21,2239.97,Housing,Rent,Bank
2024-05-02,448.34,Education,Tuition Fee,Bank
2024-12-21,223.19,Entertainment,Movie Ticket,Alipay
2024-03-02,685.66,Gift,Chocolates,Alipay
2024-05-12,336.79,Gift,Wedding Gift,Bank
2024-02-24,1279.18,Housing,Electricity Bill,WeChat
2024-09-11,155.93,Health,Vaccination,WeChat
2024-09-12,2863.91,Travel,Museum Entry,WeChat
2025-01-06,176.58,Health,Fitness Class,Bank
2025-03-16,611.64,Gift,Birthday Gift,Bank
2024-06-08,2385.51,Travel,Trip to Tokyo,Bank
2024-05-04,737.62,Gift,Anniversary Gift,WeChat
2024-04-07,364.8,Housing,Internet Fee,Bank
2024-05-09,148.11,Dining,Pizza,Alipay
2025-01-22,3667.92,Finance,Tax,Alipay
2024-01-05,437.92,Shopping,JD.com,Alipay
2025-02-02,1185.59,Education,Online Course,Alipay
2024-04-06,2353.41,Travel,Cruise Ticket,Alipay
2025-02-28,1159.03,Education,MOOC,Bank
2024-11-10,107.24,Health,Eyewear,Bank
2024-02-12,121.21,Dining,Boba Tea,Alipay
2024-08-15,61.74,Transport,Metro Recharge,Alipay
2024-01-10,610.67,Health,Vaccination,WeChat
2024-10-10,4363.33,Finance,Insurance,Alipay
2024-09-24,492.75,Gift,Perfume,WeChat
2024-09-07,167.45,Entertainment,Streaming,Bank
2024-08-01,149.46,Dining,McDonald's,Bank
2024-05-23,124.37,Shopping,Apple Store,Alipay
2024-07-22,416.42,Health,Hospital Bill,Alipay
2024-11-27,517.38,Shopping,Zara,Alipay
2024-08-06,1530.84,Travel,Cruise Ticket,WeChat
2025-03-21,3718.2,Finance,Tax,Alipay
2025-02-16,898.83,Housing,Smart Lock,Alipay
2024-09-13,951.05,Gift,Birthday Gift,Alipay
2024-04-27,757.04,Health,Hospital Bill,Alipay
2024-07-29,878.98,,Online Course,Alipay
2025-03-12,3103.5,,Loan Payment,Alipay
2024-11-26,1135.21,,Tuition Fee,Alipay
2024-09-21,217.69,,Streaming,Alipay
2024-07-02,83.89,,KTV,Bank
2024-12-18,37.61,,Metro Recharge,Alipay
2024-04-14,385.15,,Anniversary Gift,Bank
2024-06-30,402.47,,Fitness Class,Alipay
2024-07-13,467.09,,Trip to Tokyo,WeChat
2024-02-01,1920.07,,JD.com,Alipay
2024-10-02,60.01,,Didi,Alipay
2024-02-01,1126.46,,Home Decor,WeChat
2025-03-24,770.95,,Uniqlo,WeChat
2024-04-28,411.82,,Eyewear,Alipay
2024-06-19,1948.68,,Cruise Ticket,Alipay
2024-04-16,1015.1,,Electricity Bill,Bank
2025-02-26,676.64,,Wedding Gift,Alipay
2024-05-30,1366.24,,Internet Fee,Bank
2024-04-09,24.44,,Didi,Alipay
2024-10-28,167.73,,Souvenir,Bank
2024-10-05,44.02,,Game Recharge,Bank
2024-01-24,158.34,,Netflix,WeChat
2024-11-22,141.93,,Wedding Gift,WeChat
2024-06-23,1367.95,,Hotel Booking,WeChat
2024-12-05,1089.61,,Museum Entry,WeChat
2024-02-25,690.87,,Online Course,Alipay
2024-02-02,119.97,,Pizza,Bank
2024-01-07,610.47,,Hospital Bill,Bank
2024-03-29,1053.83,,Electronics Mall,Alipay
2024-09-27,567.94,,Birthday Gift,Bank
2024-10-03,52.15,,High-speed Rail,Alipay
2024-03-26,34.49,,McDonald's,WeChat
2025-01-27,76.82,,Steakhouse,Bank
2025-02-27,199.84,,Zara,Alipay
2024-11-02,4027.13,,Mutual Fund,WeChat
2024-03-09,66.99,,High-speed Rail,Alipay
2024-08-11,42.11,,Metro Recharge,Alipay
2024-12-25,317.98,,Birthday Gift,Bank
2024-09-20,639.52,,Vaccination,WeChat
2024-07-06,705.02,,Perfume,Bank
2024-02-10,51.45,,Train Ticket,WeChat
2024-04-10,187.74,,Netflix,Alipay
2024-08-07,1206.43,,Museum Entry,Alipay
2025-01-22,1216.63,,Electricity Bill,WeChat
2024-09-03,492.94,,Rent,WeChat
2024-02-19,1165.48,,Tuition Fee,Alipay
2024-01-07,1752.0,,Uniqlo,Bank
2024-08-13,1596.15,,Electricity Bill,WeChat
2024-11-10,113.95,,KFC,Alipay
2024-12-04,189.9,,Movie Ticket,Alipay
2024-03-25,1077.84,,JD.com,Bank
2024-07-23,101.22,,Sushi,Alipay
2024-07-05,570.35,,Anniversary Gift,WeChat
2024-04-29,68.07,,McDonald's,WeChat
2024-10-15,1864.89,,Airbnb,Bank
2024-09-10,157.38,,Movie Ticket,WeChat
2024-01-09,2043.36,,Electricity Bill,WeChat
2024-11-06,20.62,,Metro Recharge,WeChat
2024-06-09,284.02,,Concert,WeChat
2024-06-07,77.35,,Metro Recharge,Bank
2024-04-05,2628.43,,Airbnb,Alipay
2024-05-15,36.44,,Concert,Bank
2024-10-30,106.1,,Fitness Class,Bank
2024-11-23,4040.87,,Mutual Fund,WeChat
2025-02-26,959.43,,Internet Fee,Bank
2024-01-24,295.01,,Chocolates,Bank
2024-04-17,206.21,,MOOC,Bank
2024-09-30,95.54,,Sushi,Bank
2025-01-29,690.32,,Spring Festival Trip,Bank
2025-02-19,1247.33,,Internet Fee,Bank
2024-08-23,21.54,,Metro Recharge,WeChat
2024-11-25,167.16,,KTV,Alipay
2024-11-28,170.7,,Board Game,WeChat
2024-02-25,344.96,,Tuition Fee,Bank
2024-07-06,171.09,,Game Recharge,WeChat
